,weight
bitcoin,8.33
ethereum,8.33
solana,8.33
ripple,8.33
binancecoin,8.33
cardano,8.33
zcash,8.33
chainlink,8.33
litecoin,8.33
hyperliquid,8.33
bitcoin-cash,8.33
uniswap,8.33
