,weight
bitcoin,72.54
ethereum,11.7
binancecoin,4.54
ripple,3.99
solana,2.64
tron,1.85
hyperliquid,0.89
zcash,0.41
cardano,0.33
chainlink,0.33
litecoin,0.2
sui,0.17
avalanche-2,0.17
near,0.14
aave,0.08
