,weight
bitcoin,6.67
ethereum,6.67
binancecoin,6.67
ripple,6.67
solana,6.67
tron,6.67
hyperliquid,6.67
zcash,6.67
stellar,6.67
chainlink,6.67
cardano,6.67
the-open-network,6.67
bitcoin-cash,6.67
litecoin,6.67
hedera-hashgraph,6.67
