,gecko_id,weight_risk_tech
0,tron,15.0
1,bitcoin,32.79
2,binancecoin,7.96
3,HOOD,15.58
4,COIN,9.31
5,stellar,1.95
6,ethereum,1.64
7,hyperliquid,2.71
8,ripple,2.07
9,solana,1.51
10,zcash,1.0
11,cardano,1.27
12,chainlink,1.52
13,the-open-network,2.64
14,CRCL,3.06
