,weight
bitcoin,59.64
ethereum,24.85
solana,5.37
ripple,3.4
binancecoin,1.5
zcash,0.97
tron,0.9
cardano,0.72
hyperliquid,0.71
chainlink,0.51
litecoin,0.5
bitcoin-cash,0.32
the-open-network,0.27
stellar,0.22
hedera-hashgraph,0.12
