,weight
tron,50.0
bitcoin,12.66
binancecoin,11.37
HOOD,10.12
COIN,5.73
stellar,1.11
ethereum,1.0
hyperliquid,1.0
ripple,1.0
solana,1.0
zcash,1.0
cardano,1.0
chainlink,1.0
the-open-network,1.0
CRCL,1.0
