,gecko_id,weight_risk_tech
0,tron,15.0
1,bitcoin,32.5
2,HOOD,15.89
3,binancecoin,7.72
4,COIN,9.26
5,hyperliquid,2.76
6,litecoin,4.1
7,ethereum,1.62
8,solana,1.49
9,zcash,1.0
10,ripple,2.08
11,cardano,1.25
12,sui,1.0
13,chainlink,1.48
14,CRCL,2.85
