,weight
tron,46.14
bitcoin,12.05
HOOD,11.45
binancecoin,10.89
COIN,7.27
hyperliquid,3.15
litecoin,1.06
ethereum,1.0
solana,1.0
zcash,1.0
ripple,1.0
cardano,1.0
sui,1.0
chainlink,1.0
CRCL,1.0
