,weight
bitcoin,72.17
ethereum,11.64
binancecoin,4.52
ripple,3.97
solana,2.63
tron,1.84
hyperliquid,0.88
zcash,0.41
stellar,0.39
chainlink,0.33
cardano,0.33
the-open-network,0.25
bitcoin-cash,0.25
litecoin,0.2
hedera-hashgraph,0.19
