,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
58,the-graph,Infra,Blockchain Infra,Data Indexing,,0.2496742026941797,3.0,3.0,0.0,3.0,0.6,437630.9668508287,192525005.0,94532681.74916571,49.10150852828998,287057686.7491657,262578.58011049725,-1.2690675810727516,fees_growth,1093.2258321618133,-4063.015796266523,-5077.446025733225,1093.2258321618133,P/S (G missing/â¤0),3.0,3.0,0.0,3.0,3.0,2,5.0,,,,False,0.125,,False,,,,0.0
59,filecoin,Infra,Blockchain Infra,Storage,,0.2270390172234139,3.0,3.0,0.0,3.0,0.6,2104489.1712707183,592362551.0,95810234.0098857,16.174255757414635,688172785.0098857,1262693.502762431,1.0217644986213337,fees_growth,545.0038219919167,269.56840045591935,330.7709451699189,330.7709451699189,P/S*(1+D)/(1+G),3.0,3.0,0.0,3.0,3.0,4,4.0,,,,False,0.1,,False,,,,0.0
60,wormhole,Infra,Blockchain Infra,Bridge,,0.23202094317517066,2.5,3.0,0.0,3.0,0.5,304970.6077348066,57387816.0,80142574.22329253,139.6508524096692,137530390.22329253,152485.3038674033,-1.4203557634494073,fees_growth,901.9255412500924,-2145.624301303639,-2643.4540753916763,901.9255412500924,P/S (G missing/â¤0),3.0,3.0,0.0,3.0,2.5,2,3.0,,,,False,0.125,,False,,,,0.0
61,aptos,Base Layer,L1,L1,,0.21532599129358018,3.5,1.0,0.0,2.0,0.7,1301934.8342541438,495575818.0,457339055.483678,92.28437685465879,952914873.483678,911354.3839779006,-1.5203576067348776,tvl_growth,1045.6029950987597,-2009.393120357506,-2442.067685896986,1045.6029950987597,P/S (G missing/â¤0),3.0,1.0,0.0,2.0,3.5,4,4.0,,,,False,0.125,,False,,,,0.0
62,lighter,Finance,Dex,Order Book,,0.2569899393593088,2.0,,0.0,,0.4,58913476.35359116,536483655.0,1073024737.1428571,200.0107043602022,1609508392.142857,23565390.541436464,-1.9072064229669454,trading_volume_growth,68.29966977686027,-75.2856990953522,-94.63336634048994,68.29966977686027,P/S (G missing/â¤0),3.0,,0.0,,2.0,4,2.0,,,,False,0.07500000000000001,,False,,,,0.0
63,starknet,Base Layer,L2,L2,,0.22630353734487943,2.5,2.0,0.0,3.0,0.5,1764732.6519337015,199576798.0,276150692.5431424,138.36813462812566,475727490.5431424,882366.3259668507,-0.7648009890559407,fees_growth,539.1496440232634,2292.3125478257093,2811.0709860987204,539.1496440232634,P/S (G missing/â¤0),3.0,2.0,0.0,3.0,2.5,2,3.0,,,,False,0.1,,False,,,,0.0
64,sign-global,Infra,Blockchain Infra,Attestation,No growth metrics; ,0.23159357275812728,2.0,,0.0,,0.4,,20014783.0,0.0,0.0,20014783.0,1.0,,,20014783.0,,,20014783.0,P/S (G missing/â¤0),2.0,,0.0,,2.0,3,5.0,,,,False,0.2,,False,,,,0.0
65,mantra,Finance,other,RWA,No growth metrics; ,0.21988905496508093,2.5,,0.0,,0.5,,35817755.0,0.0,0.0,35817755.0,1.0,,,35817755.0,,,35817755.0,P/S (G missing/â¤0),2.0,,0.0,,2.5,2,5.0,,,,False,0.2,,False,,,,0.0
66,movement,Base Layer,L2,L2,No growth metrics; ,0.2299150992338616,2.0,,0.0,,0.4,308.5359116022099,44945680.0,90585439.99999994,201.54426409835148,135531119.99999994,123.41436464088397,,,1098179.457426806,,,1098179.457426806,P/S (G missing/â¤0),2.0,,0.0,,2.0,2,1.0,,,,False,0.17500000000000002,,False,,,,0.0
67,ethereum-classic,Base Layer,L1,L1,,0.20641151683206455,3.5,1.0,0.0,2.0,0.7,6527.651933701658,1103543445.0,0.0,0.0,1103543445.0,4569.35635359116,-1.3227084419386366,tvl_growth,241509.60433031237,-748383.2864100771,-902858.2157297465,241509.60433031237,P/S (G missing/â¤0),2.0,1.0,0.0,2.0,3.5,4,5.0,,,,False,0.17500000000000002,,False,,,,0.0
68,dash,Base Layer,L1,L1,,0.22013878385824973,3.5,1.0,0.0,2.0,0.7,10643.480662983426,425397254.0,0.0,0.0,425397254.0,7450.436464088398,0.6798356496423772,tvl_growth,57096.95748033598,33989.60933618205,41472.04059926618,41472.04059926618,P/S*(1+D)/(1+G),2.0,1.0,0.0,2.0,3.5,4,5.0,,,,False,0.17500000000000002,,False,,,,0.0
69,litecoin,Base Layer,L1,L1,,0.1865222186381852,3.5,1.0,0.0,2.0,0.7,180834.3093922652,3353476826.0,61335321.6,1.8290068720456993,3414812147.6,126584.01657458562,-0.9956176658425134,tvl_growth,26976.6455513594,6155771.007391987,7303959.073119357,26976.6455513594,P/S (G missing/â¤0),2.0,1.0,0.0,2.0,3.5,5,5.0,,,,False,0.15000000000000002,,False,,,,0.0
70,world-mobile-token,Infra,Blockchain Infra,Telecommunications,No growth metrics; ,0.199175815772091,2.0,,0.0,,0.4,,32957641.0,0.0,0.0,32957641.0,1.0,,,32957641.0,,,32957641.0,P/S (G missing/â¤0),2.0,,0.0,,2.0,4,5.0,,,,False,0.2,,False,,,,0.0
71,bitcoin-cash,Base Layer,L1,L1,,0.1990737535485969,3.5,1.0,0.0,1.0,0.7,45304.36464088398,4332722011.0,0.0,0.0,4332722011.0,31713.05524861878,-0.6162340071940121,tvl_growth,136622.66145702582,356005.12817219616,426876.4053199846,136622.66145702582,P/S (G missing/â¤0),2.0,1.0,0.0,1.0,3.5,5,5.0,,,,False,0.17500000000000002,,False,,,,0.0
72,polkadot,Base Layer,L1,L1,,0.2074201970987165,4.0,1.0,0.0,2.0,0.8,2984.5303867403313,1427443713.0,950895302.1739715,66.6152572962414,2378339015.1739717,2387.6243093922653,-1.370405612220978,stablecoin_supply_growth,996111.0740153851,-2689244.0102152703,-3247047.5328606637,996111.0740153851,P/S (G missing/â¤0),2.0,1.0,0.0,2.0,4.0,4,5.0,,,,False,0.17500000000000002,,False,,,,0.0
73,sonic-3,Base Layer,L1,L1,,0.2319574986099965,3.0,1.0,0.0,3.0,0.6,68640.16574585636,86533980.0,73564486.60021715,85.01225368371725,160098466.60021716,41184.099447513814,-1.6078797552657529,tvl_growth,3887.385392613749,-6394.9907180479495,-7878.356768640499,3887.385392613749,P/S (G missing/â¤0),2.0,1.0,0.0,3.0,3.0,2,5.0,,,,False,0.125,,False,,,,0.0
74,algorand,Base Layer,L1,L1,,0.21803395605396592,3.5,1.0,0.0,3.0,0.7,5829.9171270718225,772551546.0,0.0,0.0,772551546.0,4080.9419889502756,-0.7679567658093336,tvl_growth,189307.16194736215,815827.1134585692,993705.1264620287,189307.16194736215,P/S (G missing/â¤0),2.0,1.0,0.0,3.0,3.5,3,5.0,,,,False,0.17500000000000002,,False,,,,0.0
75,pyth-network,Infra,Blockchain Infra,Oracle,No growth metrics; ,0.2345565246331572,3.0,3.0,0.0,3.0,0.6,,306967145.0,389988800.0,127.04577879173355,696955945.0,1.0,,,696955945.0,,,696955945.0,P/S (G missing/â¤0),1.0,3.0,0.0,3.0,3.0,2,3.0,,,,False,0.225,,False,,,,0.0
76,render-token,Infra,AI,Compute,No growth metrics; ,0.2836996553175805,3.0,3.0,0.0,3.0,0.6,,798455941.0,0.0,0.0,798455941.0,1.0,,,798455941.0,,,798455941.0,P/S (G missing/â¤0),1.0,3.0,0.0,3.0,3.0,4,5.0,,,,False,0.225,,False,,,,0.0
77,fetch-ai,Infra,AI,Agent Protocol,No growth metrics; ,0.2626157093391685,2.5,2.0,0.0,2.0,0.5,,404363347.0,0.0,0.0,404363347.0,1.0,,,404363347.0,,,404363347.0,P/S (G missing/â¤0),1.0,2.0,0.0,2.0,2.5,4,4.0,,,,False,0.225,,False,,,,0.0
78,internet-computer,Base Layer,L1,L1,No growth metrics; ,0.22352846447921482,3.0,1.0,0.0,3.0,0.6,,1205199459.0,777187331.4800005,64.48619982993209,1982386790.4800005,1.0,,,1982386790.4800005,,,1982386790.4800005,P/S (G missing/â¤0),1.0,1.0,0.0,3.0,3.0,4,5.0,,,,False,0.25,,False,,,,0.0
