,weight
bitcoin,59.05
ethereum,24.6
solana,5.32
ripple,3.36
binancecoin,1.48
zcash,0.96
tron,0.89
cardano,0.72
hyperliquid,0.71
sui,0.67
chainlink,0.5
litecoin,0.49
near,0.44
aave,0.4
avalanche-2,0.4
