,weight
MSTR,14.8
HOOD,13.3
COIN,13.25
binancecoin,9.36
bitcoin,8.75
litecoin,6.82
bitcoin-cash,5.95
ripple,4.97
the-open-network,4.43
hyperliquid,4.33
ethereum,4.07
solana,3.66
hedera-hashgraph,2.76
chainlink,2.56
zcash,1.0
