,weight
bitcoin,73.8
ethereum,12.1
binancecoin,4.78
ripple,4.13
solana,2.38
hyperliquid,0.8
zcash,0.47
chainlink,0.33
bitcoin-cash,0.3
litecoin,0.2
avalanche-2,0.19
sui,0.18
near,0.15
bittensor,0.12
aave,0.06
