,weight
bitcoin,6.67
ethereum,6.67
binancecoin,6.67
ripple,6.67
solana,6.67
hyperliquid,6.67
zcash,6.67
chainlink,6.67
bitcoin-cash,6.67
the-open-network,6.67
hedera-hashgraph,6.67
litecoin,6.67
avalanche-2,6.67
sui,6.67
near,6.67
