,weight
bitcoin,73.59
ethereum,12.07
binancecoin,4.77
ripple,4.12
solana,2.37
hyperliquid,0.8
zcash,0.47
chainlink,0.33
bitcoin-cash,0.3
the-open-network,0.25
hedera-hashgraph,0.21
litecoin,0.2
avalanche-2,0.19
sui,0.18
near,0.15
