,gecko_id,weight
0,ethereum,14.59
1,bitcoin,32.25
2,HOOD,9.0
3,COIN,7.19
4,hyperliquid,3.95
5,MSTR,7.2
6,solana,5.85
7,morpho,1.06
8,uniswap,1.37
9,CRCL,5.14
10,binancecoin,5.86
11,zcash,2.24
12,chainlink,2.16
13,venice-token,1.0
14,sky,1.14
