,gecko_id,weight
0,ethereum,14.57
1,bitcoin,32.14
2,HOOD,8.99
3,COIN,7.19
4,hyperliquid,3.95
5,MSTR,7.19
6,solana,6.1
7,morpho,1.06
8,uniswap,1.37
9,CRCL,5.13
10,binancecoin,5.79
11,zcash,2.22
12,chainlink,2.15
13,venice-token,1.0
14,sky,1.14
