,gecko_id,weight_risk_tech
0,MSTR,14.35
1,HOOD,8.3
2,COIN,7.16
3,binancecoin,20.0
4,bitcoin,24.8
5,litecoin,3.1
6,bitcoin-cash,2.64
7,ripple,1.92
8,the-open-network,2.95
9,hyperliquid,3.69
10,ethereum,5.2
11,solana,1.43
12,hedera-hashgraph,2.09
13,chainlink,1.39
14,zcash,1.0
