,gecko_id,weight_risk_tech
0,MSTR,15.0
1,HOOD,8.26
2,COIN,6.74
3,binancecoin,20.0
4,bitcoin,26.98
5,litecoin,6.59
6,ripple,2.06
7,hyperliquid,4.44
8,ethereum,3.02
9,solana,1.32
10,chainlink,1.25
11,avalanche-2,1.2
12,sui,1.0
13,aave,1.13
14,zcash,1.0
