,weight
bitcoin,60.4
ethereum,25.34
solana,5.14
ripple,3.19
binancecoin,1.47
zcash,0.66
sui,0.6
chainlink,0.51
hyperliquid,0.48
litecoin,0.46
aave,0.42
avalanche-2,0.37
bittensor,0.34
bitcoin-cash,0.31
near,0.31
