,weight
MSTR,15.0
HOOD,13.58
COIN,13.45
binancecoin,10.18
bitcoin,9.74
litecoin,7.95
ripple,6.16
hyperliquid,5.57
ethereum,5.2
solana,4.92
chainlink,3.5
avalanche-2,1.75
sui,1.0
aave,1.0
zcash,1.0
