,weight
bitcoin,60.68
ethereum,25.46
solana,5.17
ripple,3.21
binancecoin,1.48
zcash,0.67
sui,0.6
chainlink,0.52
hyperliquid,0.48
litecoin,0.47
avalanche-2,0.37
bitcoin-cash,0.31
near,0.31
the-open-network,0.18
hedera-hashgraph,0.11
