rebalance_date,train_years,regime,n_active,ranked_pair_count,target_k,selected_pairs,candidate_count,filtered_due_corr,fill_count,used_fallback,avg_abs_corr,max_abs_corr,corr_pairs_evaluated
2026-01-01,2,LOW,138,9453,10,10,10,0,0,False,0.3003,0.8323,29
2026-01-01,3,LOW,138,9453,10,10,10,0,0,False,0.2649,0.8042,45
