date,combo
2024-01-01,-0.37083333333333335
2024-01-02,-0.42500000000000004
2024-01-03,-0.4041666666666667
2024-01-04,-0.39583333333333337
2024-01-05,-0.4041666666666667
2024-01-06,-0.40833333333333344
2024-01-07,-0.40833333333333344
2024-01-08,-0.3916666666666667
2024-01-09,-0.3916666666666667
2024-01-10,-0.40208333333333335
2024-01-11,-0.41250000000000003
2024-01-12,-0.43333333333333335
2024-01-13,-0.4125000000000001
2024-01-14,-0.4125000000000001
2024-01-15,-0.4125000000000001
2024-01-16,-0.40833333333333344
2024-01-17,-0.4083333333333334
2024-01-18,-0.38564814814814824
2024-01-19,-0.39027777777777783
2024-01-20,-0.39027777777777783
2024-01-21,-0.39027777777777783
2024-01-22,-0.4458333333333334
2024-01-23,-0.4458333333333334
2024-01-24,-0.42083333333333345
2024-01-25,-0.42083333333333345
2024-01-26,-0.40416666666666673
2024-01-27,-0.4016666666666667
2024-01-28,-0.4016666666666667
2024-01-29,-0.39916666666666667
2024-01-30,-0.39916666666666667
2024-01-31,-0.41416666666666674
2024-02-01,-0.395
2024-02-02,-0.395
2024-02-03,-0.395
2024-02-04,-0.4500000000000001
2024-02-05,-0.4500000000000001
2024-02-06,-0.40916666666666673
2024-02-07,-0.3850000000000001
2024-02-08,-0.3808333333333334
2024-02-09,-0.3808333333333334
2024-02-10,-0.37250000000000005
2024-02-11,-0.37250000000000005
2024-02-12,-0.37250000000000005
2024-02-13,-0.3766666666666667
2024-02-14,-0.3683333333333334
2024-02-15,-0.3733333333333334
2024-02-16,-0.3733333333333334
2024-02-17,-0.37750000000000006
2024-02-18,-0.37750000000000006
2024-02-19,-0.38583333333333336
2024-02-20,-0.38583333333333336
2024-02-21,-0.38583333333333336
2024-02-22,-0.39416666666666667
2024-02-23,-0.3941666666666668
2024-02-24,-0.38583333333333336
2024-02-25,-0.3991666666666667
2024-02-26,-0.38250000000000006
2024-02-27,-0.3875
2024-02-28,-0.3875
2024-02-29,-0.3875
2024-03-01,-0.3875
2024-03-02,-0.3916666666666667
2024-03-03,-0.4
2024-03-04,-0.4041666666666667
2024-03-05,-0.4091666666666667
2024-03-06,-0.4175
2024-03-07,-0.42583333333333334
2024-03-08,-0.43000000000000005
2024-03-09,-0.43000000000000005
2024-03-10,-0.4341666666666667
2024-03-11,-0.4341666666666667
2024-03-12,-0.43833333333333335
2024-03-13,-0.4425
2024-03-14,-0.44666666666666666
2024-03-15,-0.44666666666666666
2024-03-16,-0.4508333333333333
2024-03-17,-0.4508333333333333
2024-03-18,-0.455
2024-03-19,-0.47583333333333333
2024-03-20,-0.455
2024-03-21,-0.4591666666666667
2024-03-22,-0.4675
2024-03-23,-0.45916666666666667
2024-03-24,-0.4425
2024-03-25,-0.4425
2024-03-26,-0.44666666666666666
2024-03-27,-0.4375
2024-03-28,-0.4208333333333334
2024-03-29,-0.4291666666666667
2024-03-30,-0.43333333333333335
2024-03-31,-0.43750000000000006
