rebalance_date,train_years,regime,n_active,ranked_pair_count,target_k,selected_pairs,candidate_count,filtered_due_corr,fill_count,used_fallback,avg_abs_corr,max_abs_corr,corr_pairs_evaluated
2022-04-01,2,NORMAL,136,9180,10,10,10,0,0,False,0.2854,0.7591,40
2022-04-01,3,NORMAL,136,8911,10,10,10,0,0,False,0.2191,0.8465,45
