rebalance_date,train_years,regime,n_active,ranked_pair_count,target_k,selected_pairs,candidate_count,filtered_due_corr,fill_count,used_fallback,avg_abs_corr,max_abs_corr,corr_pairs_evaluated
2020-04-01,2,EXTREME,127,8001,90,90,90,3,0,False,0.2102,0.9471,4004
2020-04-01,3,EXTREME,129,8256,91,90,91,8,0,False,0.2227,0.946,4004
