rebalance_date,train_years,regime,n_active,ranked_pair_count,target_k,selected_pairs,candidate_count,filtered_due_corr,fill_count,used_fallback,avg_abs_corr,max_abs_corr,corr_pairs_evaluated
2021-07-01,2,HIGH,135,8778,94,90,94,9,0,False,0.1933,0.9486,3992
2021-07-01,3,HIGH,134,8128,91,91,91,0,0,False,0.1779,0.9427,4089
